央视IPV4,#genre#

CCTV1,http://101.35.240.114:88/live.php?id=CCTV1
CCTV2,http://101.35.240.114:88/live.php?id=CCTV2
CCTV3,http://101.35.240.114:88/live.php?id=CCTV3
CCTV4,http://101.35.240.114:88/live.php?id=CCTV4
CCTV5,http://101.35.240.114:88/live.php?id=CCTV5
CCTV5+,http://101.35.240.114:88/live.php?id=CCTV5p
CCTV6,http://101.35.240.114:88/live.php?id=CCTV6
CCTV7,http://101.35.240.114:88/live.php?id=CCTV7
CCTV8,http://101.35.240.114:88/live.php?id=CCTV8
CCTV9,http://101.35.240.114:88/live.php?id=CCTV9
CCTV10,http://101.35.240.114:88/live.php?id=CCTV10
CCTV11,http://101.35.240.114:88/live.php?id=CCTV11
CCTV12,http://101.35.240.114:88/live.php?id=CCTV12
CCTV13,http://101.35.240.114:88/live.php?id=CCTV13
CCTV14,http://101.35.240.114:88/live.php?id=CCTV14
CCTV15,http://101.35.240.114:88/live.php?id=CCTV15
CCTV16,http://101.35.240.114:88/live.php?id=CCTV16
CCTV17,http://101.35.240.114:88/live.php?id=CCTV17

卫视IPV4,#genre#

江苏卫视,http://101.35.240.114:88/live.php?id=江苏卫视
浙江卫视,http://101.35.240.114:88/live.php?id=浙江卫视
湖南卫视,http://101.35.240.114:88/live.php?id=湖南卫视
北京卫视,http://101.35.240.114:88/live.php?id=北京卫视
东方卫视,http://101.35.240.114:88/live.php?id=东方卫视
大湾区卫视,http://101.35.240.114:88/live.php?id=大湾区卫视
山东卫视,http://101.35.240.114:88/live.php?id=山东卫视
山西卫视,http://101.35.240.114:88/live.php?id=山西卫视
广东卫视,http://101.35.240.114:88/live.php?id=广东卫视
天津卫视,http://101.35.240.114:88/live.php?id=天津卫视
东南卫视,http://101.35.240.114:88/live.php?id=东南卫视
四川卫视,http://101.35.240.114:88/live.php?id=四川卫视
甘肃卫视,http://101.35.240.114:88/live.php?id=甘肃卫视
吉林卫视,http://101.35.240.114:88/live.php?id=吉林卫视
安徽卫视,http://101.35.240.114:88/live.php?id=安徽卫视
江西卫视,http://101.35.240.114:88/live.php?id=江西卫视
西藏卫视,http://101.35.240.114:88/live.php?id=西藏卫视
辽宁卫视,http://101.35.240.114:88/live.php?id=辽宁卫视
河北卫视,http://101.35.240.114:88/live.php?id=河北卫视
河南卫视,http://101.35.240.114:88/live.php?id=河南卫视
青海卫视,http://101.35.240.114:88/live.php?id=青海卫视
贵州卫视,http://101.35.240.114:88/live.php?id=贵州卫视
重庆卫视,http://101.35.240.114:88/live.php?id=重庆卫视
陕西卫视,http://101.35.240.114:88/live.php?id=陕西卫视
海南卫视,http://101.35.240.114:88/live.php?id=海南卫视
深圳卫视,http://101.35.240.114:88/live.php?id=深圳卫视
湖北卫视,http://101.35.240.114:88/live.php?id=湖北卫视
新疆卫视,http://101.35.240.114:88/live.php?id=新疆卫视
内蒙古卫视,http://101.35.240.114:88/live.php?id=内蒙古卫视
黑龙江卫视,http://101.35.240.114:88/live.php?id=黑龙江卫视

4K8K频道,#genre#

江苏卫视4K,http://101.35.240.114:88/live.php?id=江苏卫视4K
浙江卫视4K,http://101.35.240.114:88/live.php?id=浙江卫视4K
湖南卫视4K,http://101.35.240.114:88/live.php?id=湖南卫视4K
北京卫视4K,http://101.35.240.114:88/live.php?id=北京卫视4K
东方卫视4K,http://101.35.240.114:88/live.php?id=东方卫视4K
深圳卫视4K,http://101.35.240.114:88/live.php?id=深圳卫视4K
山东卫视4K,http://101.35.240.114:88/live.php?id=山东卫视4K
广东卫视4K,http://101.35.240.114:88/live.php?id=广东卫视4K
四川卫视4K,http://101.35.240.114:88/live.php?id=四川卫视4K
