Gather大陸,#genre#

CCTV1綜合,https://cdn.19891230.eu.org/api/CCTV1/index.m3u8
CCTV2財經,https://cdn.19891230.eu.org/api/CCTV2/index.m3u8
CCTV3綜藝,https://cdn.19891230.eu.org/api/CCTV3/index.m3u8
CCTV4中文國際,https://cdn.19891230.eu.org/api/CCTV4/index.m3u8
CCTV5體育,https://cdn.19891230.eu.org/api/CCTV5/index.m3u8
CCTV5+體育賽事,https://cdn.19891230.eu.org/api/CCTV5+/index.m3u8
CCTV6電影,https://cdn.19891230.eu.org/api/CCTV6/index.m3u8
CCTV7國防軍事,https://cdn.19891230.eu.org/api/CCTV7/index.m3u8
CCTV8電視劇,https://cdn.19891230.eu.org/api/CCTV8/index.m3u8
CCTV9記錄,https://cdn.19891230.eu.org/api/CCTV9/index.m3u8
CCTV10科教,https://cdn.19891230.eu.org/api/CCTV10/index.m3u8
CCTV11戲曲,https://cdn.19891230.eu.org/api/CCTV11/index.m3u8
CCTV12社會與法,https://cdn.19891230.eu.org/api/CCTV12/index.m3u8
CCTV13新聞,https://cdn.19891230.eu.org/api/CCTV13/index.m3u8
CCTV14少兒,https://cdn.19891230.eu.org/api/CCTV14/index.m3u8
CCTV15音樂,https://cdn.19891230.eu.org/api/CCTV15/index.m3u8

江蘇衛視,https://cdn.19891230.eu.org/api/jsws/index.m3u8
浙江衛視,https://cdn.19891230.eu.org/api/zjws/index.m3u8
湖南衛視,https://cdn.19891230.eu.org/api/hnws/index.m3u8
北京衛視,https://cdn.19891230.eu.org/api/bjws/index.m3u8
東方衛視,https://cdn.19891230.eu.org/api/dfws/index.m3u8
廣東衛視,https://cdn.19891230.eu.org/api/gdws/index.m3u8
四川衛視,https://cdn.19891230.eu.org/api/scws/index.m3u8


Gather台灣,#genre#


東森幼幼,https://cdn.19891230.eu.org/api/YoYo-TV/index.m3u8
TVBS新聞,https://cdn.19891230.eu.org/4gtv/media-live072/index.m3u8
東森新聞,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv152/index.m3u8
緯來日本,https://cdn.19891230.eu.org/api/VL-Japan/index.m3u8
緯來綜合,https://cdn.19891230.eu.org/api/VL-ONTV/index.m3u8
緯來體育,https://cdn.19891230.eu.org/api/VL-Sports/index.m3u8
緯來電影,https://cdn.19891230.eu.org/api/VL-Movies/index.m3u8
緯來戲劇,https://cdn.19891230.eu.org/api/VL-Drama/index.m3u8
緯來育樂,https://cdn.19891230.eu.org/api/VL-E/index.m3u8
華視,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv041/index.m3u8
中視,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv040/index.m3u8
台視,https://cdn.19891230.eu.org/api/TTV/index.m3u8
中視新聞,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv074/index.m3u8
東森財經,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv153/index.m3u8
東森電影,https://cdn.19891230.eu.org/api/ET-Movie/index.m3u8
東森洋片,https://cdn.19891230.eu.org/api/ET-Foreign-Movie-Channel/index.m3u8
東森綜合,https://cdn.19891230.eu.org/api/ET-Variety-Channel/index.m3u8
東森戲劇,https://cdn.19891230.eu.org/api/ET-Drama-Channel/index.m3u8
好萊塢電影,https://cdn.19891230.eu.org/api/Hollywood-Movie/index.m3u8
TVBS,https://cdn.19891230.eu.org/4gtv/media-live073/index.m3u8
TVBS歡樂,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv068/index.m3u8
TVBS精采,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv067/index.m3u8
靖天國際,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv063/index.m3u8
靖天歡樂,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv054/index.m3u8
靖天映畫,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv055/index.m3u8
靖天戲劇,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv058/index.m3u8
靖天綜合,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv046/index.m3u8
靖天育樂,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv062/index.m3u8
靖天資訊,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv065/index.m3u8
靖天電影,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv061/index.m3u8
靖洋戲劇,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv045/index.m3u8
靖天卡通,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv044/index.m3u8
靖洋卡通,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv057/index.m3u8
龍華洋片,https://iptv.yang-1989.eu.org/ofiii/litv-xinchuang02
龍華經典,https://iptv.yang-1989.eu.org/ofiii/litv-xinchuang21
龍華電影,https://iptv.yang-1989.eu.org/ofiii/litv-xinchuang03
