4gtv,#genre#
parse=1

ABC Australia 澳洲公廣頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=498
amc電影台,https://ha.msbot.dpdns.org/4gtv_api.php?id=39
ARIRANG阿里郎頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=189
Bloomberg TV,https://ha.msbot.dpdns.org/4gtv_api.php?id=283
CI 罪案偵查頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=215
CinemaWorld,https://ha.msbot.dpdns.org/4gtv_api.php?id=225
CLASSICA 古典樂,https://ha.msbot.dpdns.org/4gtv_api.php?id=80
CNBC Asia 財經台,https://ha.msbot.dpdns.org/4gtv_api.php?id=235
DreamWorks 夢工廠動畫,https://ha.msbot.dpdns.org/4gtv_api.php?id=282
DW德國之聲,https://ha.msbot.dpdns.org/4gtv_api.php?id=226
ELTV生活英語台,https://ha.msbot.dpdns.org/4gtv_api.php?id=490
FRANCE24 英文台,https://ha.msbot.dpdns.org/4gtv_api.php?id=316
fun探索娛樂台,https://ha.msbot.dpdns.org/4gtv_api.php?id=274
GagaOOLala 精選LGBTQ+好劇,https://ha.msbot.dpdns.org/4gtv_api.php?id=478
getwin sport運動台,https://ha.msbot.dpdns.org/4gtv_api.php?id=93
GINX Esports TV,https://ha.msbot.dpdns.org/4gtv_api.php?id=179
Global Trekker,https://ha.msbot.dpdns.org/4gtv_api.php?id=252
History 歷史頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=214
HITS頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=186
INULTRA,https://ha.msbot.dpdns.org/4gtv_api.php?id=501
Lifetime 娛樂頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=217
LiveABC互動英語頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=188
Love Nature,https://ha.msbot.dpdns.org/4gtv_api.php?id=139
LUXE TV Channel,https://ha.msbot.dpdns.org/4gtv_api.php?id=175
Mezzo Live HD,https://ha.msbot.dpdns.org/4gtv_api.php?id=79
MOMO親子台,https://ha.msbot.dpdns.org/4gtv_api.php?id=231
My Cinema Europe HD 我的歐洲電影,https://ha.msbot.dpdns.org/4gtv_api.php?id=463
NHK WORLD-JAPAN,https://ha.msbot.dpdns.org/4gtv_api.php?id=461
Nick Jr. 兒童頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=219
Pet Club TV,https://ha.msbot.dpdns.org/4gtv_api.php?id=464
ROCK Action,https://ha.msbot.dpdns.org/4gtv_api.php?id=180
ROCK Entertainment,https://ha.msbot.dpdns.org/4gtv_api.php?id=275
ROCK Xstream搖滾極限頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=485
SBN全球財經台,https://ha.msbot.dpdns.org/4gtv_api.php?id=224
TRACE Sport Stars,https://ha.msbot.dpdns.org/4gtv_api.php?id=57
TRACE Urban,https://ha.msbot.dpdns.org/4gtv_api.php?id=78
TV5MONDE STYLE HD 生活時尚,https://ha.msbot.dpdns.org/4gtv_api.php?id=178
TVBS,https://ha.msbot.dpdns.org/4gtv_api.php?id=183
TVBS,https://ha.msbot.dpdns.org/4gtv_api.php?id=472
TVBS台劇台,https://ha.msbot.dpdns.org/4gtv_api.php?id=477
TVBS新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=291
TVBS新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=473
TVBS精采台,https://ha.msbot.dpdns.org/4gtv_api.php?id=227
TVBS綜藝台,https://ha.msbot.dpdns.org/4gtv_api.php?id=476
TVBS歡樂台,https://ha.msbot.dpdns.org/4gtv_api.php?id=184
人間衛視,https://ha.msbot.dpdns.org/4gtv_api.php?id=210
八大精彩台,https://ha.msbot.dpdns.org/4gtv_api.php?id=172
八大綜藝台,https://ha.msbot.dpdns.org/4gtv_api.php?id=114
八大綜藝台,https://ha.msbot.dpdns.org/4gtv_api.php?id=276
三立新聞iNEWS,https://ha.msbot.dpdns.org/4gtv_api.php?id=229
三立綜合台,https://ha.msbot.dpdns.org/4gtv_api.php?id=169
大愛二台,https://ha.msbot.dpdns.org/4gtv_api.php?id=230
大愛電視,https://ha.msbot.dpdns.org/4gtv_api.php?id=209
中天新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=260
中天新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=30
中視,https://ha.msbot.dpdns.org/4gtv_api.php?id=4
中視新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=258
中視新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=33
公視戲劇,https://ha.msbot.dpdns.org/4gtv_api.php?id=7
半島國際新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=462
尼克兒童頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=185
民視,https://ha.msbot.dpdns.org/4gtv_api.php?id=246
民視,https://ha.msbot.dpdns.org/4gtv_api.php?id=3
民視,https://ha.msbot.dpdns.org/4gtv_api.php?id=468
民視台灣台,https://ha.msbot.dpdns.org/4gtv_api.php?id=2
民視台灣台,https://ha.msbot.dpdns.org/4gtv_api.php?id=255
民視台灣台,https://ha.msbot.dpdns.org/4gtv_api.php?id=469
民視旅遊台,https://ha.msbot.dpdns.org/4gtv_api.php?id=61
民視第一台,https://ha.msbot.dpdns.org/4gtv_api.php?id=1
民視第一台,https://ha.msbot.dpdns.org/4gtv_api.php?id=254
民視第一台,https://ha.msbot.dpdns.org/4gtv_api.php?id=470
民視新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=257
民視新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=31
民視新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=467
民視綜藝台,https://ha.msbot.dpdns.org/4gtv_api.php?id=16
民視影劇台,https://ha.msbot.dpdns.org/4gtv_api.php?id=24
好消息,https://ha.msbot.dpdns.org/4gtv_api.php?id=9
好消息2台,https://ha.msbot.dpdns.org/4gtv_api.php?id=8
車迷TV,https://ha.msbot.dpdns.org/4gtv_api.php?id=160
亞洲旅遊台,https://ha.msbot.dpdns.org/4gtv_api.php?id=250
亞洲旅遊台,https://ha.msbot.dpdns.org/4gtv_api.php?id=261
幸福空間居家台,https://ha.msbot.dpdns.org/4gtv_api.php?id=123
東森財經新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=211
東森財經新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=293
東森新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=234
東森新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=292
東森購物一台,https://ha.msbot.dpdns.org/4gtv_api.php?id=173
東森購物二台,https://ha.msbot.dpdns.org/4gtv_api.php?id=499
東森購物三台,https://ha.msbot.dpdns.org/4gtv_api.php?id=287
東森購物四台,https://ha.msbot.dpdns.org/4gtv_api.php?id=500
采昌影劇台,https://ha.msbot.dpdns.org/4gtv_api.php?id=25
金光布袋戲,https://ha.msbot.dpdns.org/4gtv_api.php?id=236
客家電視台,https://ha.msbot.dpdns.org/4gtv_api.php?id=107
香蕉直擊台,https://ha.msbot.dpdns.org/4gtv_api.php?id=94
原住民族電視台,https://ha.msbot.dpdns.org/4gtv_api.php?id=124
時尚運動X,https://ha.msbot.dpdns.org/4gtv_api.php?id=277
時尚運動X,https://ha.msbot.dpdns.org/4gtv_api.php?id=69
國會頻道1,https://ha.msbot.dpdns.org/4gtv_api.php?id=170
國會頻道2,https://ha.msbot.dpdns.org/4gtv_api.php?id=171
博斯高球二台,https://ha.msbot.dpdns.org/4gtv_api.php?id=494
博斯高球台,https://ha.msbot.dpdns.org/4gtv_api.php?id=264
博斯高球台,https://ha.msbot.dpdns.org/4gtv_api.php?id=486
博斯無限二台,https://ha.msbot.dpdns.org/4gtv_api.php?id=496
博斯無限台,https://ha.msbot.dpdns.org/4gtv_api.php?id=266
博斯無限台,https://ha.msbot.dpdns.org/4gtv_api.php?id=489
博斯運動一台,https://ha.msbot.dpdns.org/4gtv_api.php?id=265
博斯運動一台,https://ha.msbot.dpdns.org/4gtv_api.php?id=487
博斯運動二台,https://ha.msbot.dpdns.org/4gtv_api.php?id=495
博斯網球台,https://ha.msbot.dpdns.org/4gtv_api.php?id=267
博斯網球台,https://ha.msbot.dpdns.org/4gtv_api.php?id=488
博斯魅力台,https://ha.msbot.dpdns.org/4gtv_api.php?id=493
智林體育台,https://ha.msbot.dpdns.org/4gtv_api.php?id=58
華視,https://ha.msbot.dpdns.org/4gtv_api.php?id=6
華視新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=256
華視新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=34
視納華仁紀實頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=38
愛爾達生活旅遊台,https://ha.msbot.dpdns.org/4gtv_api.php?id=237
經典卡通台,https://ha.msbot.dpdns.org/4gtv_api.php?id=202
