63央視,#genre#

CCTV1综合,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
CCTV2财经,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd
CCTV3综艺,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd
CCTV4中文国际,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd
CCTV5体育,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5hd
CCTV5+体育赛事,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5p
CCTV6电影,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd
CCTV7国防军事,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd
CCTV8电视剧,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8hd
CCTV9纪录,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv9hd
CCTV10科教,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv10hd
CCTV11戏曲,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv11hd
CCTV12社会与法,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv12hd
CCTV13新闻,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv13hd
CCTV14少儿,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv14hd
CCTV15音乐,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv15hd
CCTV16奥林匹克,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv16hd
CCTV17农业农村,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv17hd

php央視,#genre#

CCTV1综合,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv1
CCTV2财经,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv2
CCTV3综艺,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv3
CCTV4中文国际,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv4
CCTV5体育,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5
CCTV5+体育赛事,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5p
CCTV6电影,,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv6
CCTV7国防军事,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv7
CCTV8电视剧,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv8
CCTV9纪录,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv9
CCTV10科教,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv10
CCTV11戏曲,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv11
CCTV12社会与法,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv12
CCTV13新闻,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv13
CCTV14少儿,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv14
CCTV15音乐,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv15
CCTV16奥林匹克,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv16
CCTV17农业农村,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv17



