央視1,#genre#

CCTV1综合,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv1/index.shtml
CCTV2财经,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv2/index.shtml
CCTV3综艺,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv3/index.shtml
CCTV4中文国际（亚）,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv4/index.shtml
CCTV5体育,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv5/index.shtml
CCTV5+体育赛事,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv5plus
CCTV6电影,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv6/index.shtml
CCTV7国防军事,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv7/index.shtml
CCTV8电视剧,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv8/index.shtml
CCTV9纪录,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvjilu/index.shtml
CCTV10科教,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv10/index.shtml
CCTV11戏曲,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv11/index.shtml
CCTV12社会与法,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv12/index.shtml
CCTV13新闻,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv13/index.shtml
CCTV14少儿,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvchild/index.shtml
CCTV15音乐,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv15/index.shtml
CCTV16奥林匹克,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv16/index.shtml
CCTV17农业农村,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv17/index.shtml
CCTV4中文国际（欧）,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctveurope/index.shtml
CCTV4中文国际（美）,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvamerica/index.shtml

央視2,#genre#

CCTV1综合,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001859	
CCTV2财经,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001800	
CCTV3综艺,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001801	
CCTV4中文国际（亚）,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001814	
CCTV5体育,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001818
CCTV5+体育赛事,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001817
CCTV6电影,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600108442	
CCTV7国防军事,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600004092	
CCTV8电视剧,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001803	
CCTV9纪录,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600004078	
CCTV10科教,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001805	
CCTV11戏曲,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001806	
CCTV12社会与法,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001807	
CCTV13新闻,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001811	
