央視,#genre#

CCTV 1 綜合,https://cdn-2.ttvb.eu.org/api/CCTV1/index.m3u8
CCTV 2 財經,https://cdn-2.ttvb.eu.org/api/CCTV2/index.m3u8
CCTV 3 綜藝,https://cdn-2.ttvb.eu.org/api/CCTV3/index.m3u8
CCTV 4 中文國際,https://cdn-2.ttvb.eu.org/api/CCTV4/index.m3u8
CCTV 5 體育,https://cdn-2.ttvb.eu.org/api/CCTV5/index.m3u8
CCTV 5+ 體育賽事,https://cdn-2.ttvb.eu.org/api/CCTV5+/index.m3u8
CCTV 6 電影,https://cdn-2.ttvb.eu.org/api/CCTV6/index.m3u8
CCTV 7 國防軍事,https://cdn-2.ttvb.eu.org/api/CCTV7/index.m3u8
CCTV 8 電視劇,https://cdn-2.ttvb.eu.org/api/CCTV8/index.m3u8
CCTV 9 記錄,https://cdn-2.ttvb.eu.org/api/CCTV9/index.m3u8
CCTV 10 科教,https://cdn-2.ttvb.eu.org/api/CCTV10/index.m3u8
CCTV 11 戲曲,https://cdn-2.ttvb.eu.org/api/CCTV11/index.m3u8
CCTV 12 社會與法,https://cdn-2.ttvb.eu.org/api/CCTV12/index.m3u8
CCTV 13 新聞,https://cdn-2.ttvb.eu.org/api/CCTV13/index.m3u8
CCTV 14 少兒,https://cdn-2.ttvb.eu.org/api/CCTV14/index.m3u8
CCTV 15 音樂,https://cdn-2.ttvb.eu.org/api/CCTV15/index.m3u8

江蘇衛視,https://cdn-2.ttvb.eu.org/api/jsws/index.m3u8
浙江衛視,https://cdn-2.ttvb.eu.org/api/zjws/index.m3u8
湖南衛視,https://cdn-2.ttvb.eu.org/api/hnws/index.m3u8
北京衛視,https://cdn-2.ttvb.eu.org/api/bjws/index.m3u8
東方衛視,https://cdn-2.ttvb.eu.org/api/dfws/index.m3u8
四川衛視,https://cdn-2.ttvb.eu.org/api/scws/index.m3u8
廣東衛視,https://cdn-2.ttvb.eu.org/api/gdws/index.m3u8


台湾,#genre#

緯來日本,https://cdn-2.ttvb.eu.org/api/VL-Japan/index.m3u8
緯來體育,https://cdn-2.ttvb.eu.org/api/VL-Sports/index.m3u8
緯來電影,https://cdn-2.ttvb.eu.org/api/VL-Movies/index.m3u8
緯來綜合,https://cdn-2.ttvb.eu.org/api/VL-ONTV/index.m3u8
緯來戲劇,https://cdn-2.ttvb.eu.org/api/VL-Drama/index.m3u8
緯來育樂,https://cdn-2.ttvb.eu.org/api/VL-E/index.m3u8
年代新聞,https://cdn-2.ttvb.eu.org/api/Era-News/index.m3u8
中天亞洲,https://cdn-2.ttvb.eu.org/api/Cti-I/index.m3u8
中天綜合,https://cdn-2.ttvb.eu.org/api/Cti-K/index.m3u8
中天娛樂,https://cdn-2.ttvb.eu.org/api/Cti-E/index.m3u8
中天新聞「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv009/index.m3u8
中視「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv040/index.m3u8
中視新聞「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv074/index.m3u8
