米古央視衛視,#genre#

CCTV1综合,http://m.061899.xyz/mg/cctv1
CCTV2财经,http://m.061899.xyz/mg/cctv2
CCTV3综艺,http://m.061899.xyz/mg/cctv3
CCTV4中文国际,http://m.061899.xyz/mg/cctv4
CCTV5体育,http://m.061899.xyz/mg/cctv5
CCTV5+体育赛事,http://m.061899.xyz/mg/cctv5p
CCTV6电影,http://m.061899.xyz/mg/cctv6
CCTV7国防军事,http://m.061899.xyz/mg/cctv7
CCTV8电视剧,http://m.061899.xyz/mg/cctv8
CCTV9纪录,http://m.061899.xyz/mg/cctv9
CCTV10科教,http://m.061899.xyz/mg/cctv10
CCTV11戏曲,http://m.061899.xyz/mg/cctv11
CCTV12社会与法,http://m.061899.xyz/mg/cctv12
CCTV13新闻,http://m.061899.xyz/mg/cctv13
CCTV14少儿,http://m.061899.xyz/mg/cctv14
CCTV15音乐,http://m.061899.xyz/mg/cctv15
CCTV16奥林匹克,http://m.061899.xyz/mg/cctv16
CCTV17农业农村,http://m.061899.xyz/mg/cctv17
cctv美洲,http://m.061899.xyz/mg/cctv4m
cctv欧洲,http://m.061899.xyz/mg/cctv4o


江苏卫视,http://m.061899.xyz/mg/jsws
浙江卫视,http://m.061899.xyz/mg/zjws
湖南卫视,http://m.061899.xyz/mg/hunws
北京卫视,http://m.061899.xyz/mg/bjws
东方卫视,http://m.061899.xyz/mg/dfws

山东卫视,http://m.061899.xyz/mg/sdws
广东卫视,http://m.061899.xyz/mg/gdws
广西卫视,http://m.061899.xyz/mg/gxws
天津卫视,http://m.061899.xyz/mg/tjws
东南卫视,http://m.061899.xyz/mg/dnws
四川卫视,http://m.061899.xyz/mg/scws
宁夏卫视,http://m.061899.xyz/mg/nxws
甘肃卫视,http://m.061899.xyz/mg/gsws
吉林卫视,http://m.061899.xyz/mg/jlws
安徽卫视,http://m.061899.xyz/mg/ahws
江西卫视,http://m.061899.xyz/mg/jxws
西藏卫视,http://m.061899.xyz/mg/xzws
兵团卫视,http://m.061899.xyz/mg/btws
河北卫视,http://m.061899.xyz/mg/hbws
河南卫视,http://m.061899.xyz/mg/hnws
青海卫视,http://m.061899.xyz/mg/qhws
贵州卫视,http://m.061899.xyz/mg/gzws
重庆卫视,http://m.061899.xyz/mg/cqws
陕西卫视,http://m.061899.xyz/mg/sxws
海南卫视,http://m.061899.xyz/mg/hinws
深圳卫视,http://m.061899.xyz/mg/szws
湖北卫视,http://m.061899.xyz/mg/hubws
新疆卫视,http://m.061899.xyz/mg/xjws

内蒙古卫视,http://m.061899.xyz/mg/nmgws
黑龙江卫视,http://m.061899.xyz/mg/hljws
