央視,#genre#

CCTV1综合,webview://https://tv.cctv.com/live/cctv1/index.shtml
CCTV2财经,webview://https://tv.cctv.com/live/cctv2/index.shtml
CCTV3综艺,webview://https://tv.cctv.com/live/cctv3/index.shtml
CCTV4中文国际,webview://https://tv.cctv.com/live/cctv4/index.shtml
CCTV5体育,webview://https://tv.cctv.com/live/cctv5/index.shtml
CCTV5+体育赛事,webview://https://tv.cctv.com/live/cctv5plus/index.shtml
CCTV6电影,webview://https://tv.cctv.com/live/cctv6/index.shtml
CCTV7国防军事,webview://https://tv.cctv.com/live/cctv7/index.shtml
CCTV8电视剧,webview://https://tv.cctv.com/live/cctv8/index.shtml
CCTV9纪录,webview://https://tv.cctv.com/live/cctvjilu/index.shtml
CCTV10科教,webview://https://tv.cctv.com/live/cctv10/index.shtml
CCTV11戏曲,webview://https://tv.cctv.com/live/cctv11/index.shtml
CCTV12社会与法,webview://https://tv.cctv.com/live/cctv12/index.shtml
CCTV13新闻,webview://https://tv.cctv.com/live/cctv13/index.shtml
CCTV14少儿,webview://https://tv.cctv.com/live/cctvchild/index.shtml
CCTV15音乐,webview://https://tv.cctv.com/live/cctv15/index.shtml
CCTV16奥林匹克,webview://https://tv.cctv.com/live/cctv16/index.shtml
CCTV17农业农村,webview://https://tv.cctv.com/live/cctv17/index.shtml
CCTV4中文国际（欧）,webview://https://tv.cctv.com/live/cctveurope/index.shtml
CCTV4中文国际（美）,webview://https://tv.cctv.com/live/cctvamerica/index.shtml

CCTV1综合,webview://https://www.yangshipin.cn/tv/home?pid=600001859	
CCTV2财经,webview://https://www.yangshipin.cn/tv/home?pid=600001800	
CCTV3综艺,webview://https://www.yangshipin.cn/tv/home?pid=600001801	
CCTV4中文国际,webview://https://www.yangshipin.cn/tv/home?pid=600001814	
CCTV5体育,webview://https://www.yangshipin.cn/tv/home?pid=600001818
CCTV5+体育赛事,webview://https://www.yangshipin.cn/tv/home?pid=600001817
CCTV6电影,webview://https://www.yangshipin.cn/tv/home?pid=600108442	
CCTV7国防军事,webview://https://www.yangshipin.cn/tv/home?pid=600004092	
CCTV8电视剧,webview://https://www.yangshipin.cn/tv/home?pid=600001803	
CCTV9纪录,webview://https://www.yangshipin.cn/tv/home?pid=600004078	
CCTV10科教,webview://https://www.yangshipin.cn/tv/home?pid=600001805	
CCTV11戏曲,webview://https://www.yangshipin.cn/tv/home?pid=600001806	
CCTV12社会与法,webview://https://www.yangshipin.cn/tv/home?pid=600001807	
CCTV13新闻,webview://https://www.yangshipin.cn/tv/home?pid=600001811	
CCTV14少儿,webview://https://www.yangshipin.cn/tv/home?pid=600001809	
CCTV15音乐,webview://https://www.yangshipin.cn/tv/home?pid=600001815
CCTV16奥林匹克,webview://https://www.yangshipin.cn/tv/home?pid=600098637
CCTV17农业农村,webview://https://www.yangshipin.cn/tv/home?pid=600001810	
CCTV4K超高清,webview://https://www.yangshipin.cn/tv/home?pid=600002264	
CCTV8K超高清,webview://https://www.yangshipin.cn/tv/home?pid=600156816	

CCTV风云剧场频道,webview://https://www.yangshipin.cn/tv/home?pid=600099658
CCTV第一剧场频道,webview://https://www.yangshipin.cn/tv/home?pid=600099655
CCTV怀旧剧场频道,webview://https://www.yangshipin.cn/tv/home?pid=600099620
