天光央視2,#genre#

CCTV-1综合,webview://https://www.yangshipin.cn/tv/home?pid=600001859
CCTV-2财经,webview://https://www.yangshipin.cn/tv/home?pid=600001800
CCTV-3综艺,webview://https://www.yangshipin.cn/tv/home?pid=600001801
CCTV-4中文国际,webview://https://www.yangshipin.cn/tv/home?pid=600001814
CCTV-6电影,webview://https://www.yangshipin.cn/tv/home?pid=600108442
CCTV-7国防军事,webview://https://www.yangshipin.cn/tv/home?pid=600004092
CCTV-8电视剧,webview://https://www.yangshipin.cn/tv/home?pid=600001803
CCTV-9纪录,webview://https://www.yangshipin.cn/tv/home?pid=600004078
CCTV-10科教,webview://https://www.yangshipin.cn/tv/home?pid=600001805
CCTV-11戏曲,webview://https://www.yangshipin.cn/tv/home?pid=600001806
CCTV-12社会与法,webview://https://www.yangshipin.cn/tv/home?pid=600001807
CCTV-13 新闻,webview://https://www.yangshipin.cn/tv/home?pid=600001811
CCTV-14少儿,webview://https://www.yangshipin.cn/tv/home?pid=600001809
CCTV-15音乐,webview://https://www.yangshipin.cn/tv/home?pid=600001815
CCTV-17农业农村,webview://https://www.yangshipin.cn/tv/home?pid=600001810
