酷9廣東,#genre#
parse=1


广东影视,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/53
广东卫视,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/43
广东珠江,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/44
广东新闻,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/45
广东民生,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/48
广东体育,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/47
大湾区卫视,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/51
大湾区卫视（海外版）,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/46
4K超高清,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/16
广东少儿,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/54
嘉佳卡通,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/66
南方购物,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/42
岭南戏曲,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/15
广东移动,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/74
广东台经典剧,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/100
纪录片,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/94
健康,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/99
GRTN生活频道,http://A/ku9/js/webview.js?id=https://www.gdtv.cn/tvChannelDetail/102
	
