decoder=9
order=14



央視1,#genre#

CCTV-1综合,https://tv.cctv.com/live/cctv1/index.shtml
CCTV-2财经,https://tv.cctv.com/live/cctv2/index.shtml
CCTV-3综艺,https://tv.cctv.com/live/cctv3/index.shtml
CCTV-4中文国际,https://tv.cctv.com/live/cctv4/index.shtml
CCTV-6电影,https://tv.cctv.com/live/cctv6/index.shtml
CCTV-7国防军事,https://tv.cctv.com/live/cctv7/index.shtml
CCTV-8电视剧,https://tv.cctv.com/live/cctv8/index.shtml
CCTV-9纪录,https://tv.cctv.com/live/cctvjilu/index.shtml
CCTV-10科教,https://tv.cctv.com/live/cctv10/index.shtml
CCTV-11戏曲,https://tv.cctv.com/live/cctv11/index.shtml
CCTV-12社会与法,https://tv.cctv.com/live/cctv12/index.shtml
CCTV-13新闻,https://tv.cctv.com/live/cctv13/index.shtml
CCTV-14少儿,https://tv.cctv.com/live/cctvchild/index.shtml
CCTV-15音乐,https://tv.cctv.com/live/cctv15/index.shtml
CCTV-17农业农村,https://tv.cctv.com/live/cctv17/index.shtml
