米古央視,#genre#

CCTV1综合,http://114.240.104.132:7788/608807420
CCTV1综合,http://183.162.104.153:1234/608807420
CCTV1综合,http://101.133.133.237:8888/608807420
CCTV2财经,http://114.240.104.132:7788/631780532
CCTV2财经,http://183.162.104.153:1234/631780532
CCTV2财经,http://101.133.133.237:8888/631780532
CCTV3综艺,http://114.240.104.132:7788/624878271
CCTV3综艺,http://183.162.104.153:1234/624878271
CCTV3综艺,http://101.133.133.237:8888/624878271
CCTV4中文国际,http://114.240.104.132:7788/631780421
CCTV4中文国际,http://183.162.104.153:1234/631780421
CCTV4中文国际,http://101.133.133.237:8888/631780421
CCTV5体育,http://114.240.104.132:7788/641886683
CCTV5体育,http://183.162.104.153:1234/641886683
CCTV5体育,http://101.133.133.237:8888/641886683
CCTV5+体育赛事,http://114.240.104.132:7788/641886773
CCTV5+体育赛事,http://183.162.104.153:1234/641886773
CCTV5+体育赛事,http://101.133.133.237:8888/641886773
CCTV6电影,http://114.240.104.132:7788/624878396
CCTV6电影,http://183.162.104.153:1234/624878396
CCTV6电影,http://101.133.133.237:8888/624878396
CCTV7国防军事,http://114.240.104.132:7788/673168121
CCTV7国防军事,http://183.162.104.153:1234/673168121
CCTV7国防军事,http://101.133.133.237:8888/673168121
CCTV8电视剧,http://114.240.104.132:7788/624878356
CCTV8电视剧,http://183.162.104.153:1234/624878356
CCTV8电视剧,http://101.133.133.237:8888/624878356
CCTV9纪录,http://114.240.104.132:7788/673168140
CCTV9纪录,http://183.162.104.153:1234/673168140
CCTV9纪录,http://101.133.133.237:8888/673168140
CCTV10科教,http://114.240.104.132:7788/624878405
CCTV10科教,http://183.162.104.153:1234/624878405
CCTV10科教,http://101.133.133.237:8888/624878405
CCTV11戏曲,http://114.240.104.132:7788/667987558
CCTV11戏曲,http://183.162.104.153:1234/667987558
CCTV11戏曲,http://101.133.133.237:8888/667987558
CCTV12社会与法,http://114.240.104.132:7788/673168185
CCTV12社会与法,http://183.162.104.153:1234/673168185
CCTV12社会与法,http://101.133.133.237:8888/673168185
CCTV13新闻,http://114.240.104.132:7788/608807423
CCTV13新闻,http://183.162.104.153:1234/608807423
CCTV13新闻,http://101.133.133.237:8888/608807423
CCTV14少儿,http://114.240.104.132:7788/624878440
