酷9央視,#genre#

CCTV-1综合,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv1/index.shtml
CCTV-2财经,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv2/index.shtml
CCTV-3综艺,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv3/index.shtml
CCTV-4中文国际,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv4/index.shtml
CCTV-4欧洲,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctveurope/index.shtml
CCTV-4美洲,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvamerica/index.shtml
CCTV-6电影,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv6/index.shtml
CCTV-7国防军事,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv7/index.shtml
CCTV-8电视剧,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv8/index.shtml
CCTV-9纪录,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvjilu/index.shtml
CCTV-10科教,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv10/index.shtml
CCTV-11戏曲,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv11/index.shtml
CCTV-12社会与法,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv12/index.shtml
CCTV-13新闻,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv13/index.shtml
CCTV-14少儿,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvchild/index.shtml
CCTV-15音乐,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv15/index.shtml
CCTV-17农业农村,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv17/index.shtml
CCTV-风云剧场,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600099658
CCTV-第一剧场,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600099655
CCTV-怀旧剧场,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600099620

