酷9央視2,#genre#

CCTV-1综合,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001859
CCTV-2财经,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001800
CCTV-3综艺,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001801
CCTV-4中文国际,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001814
CCTV-6电影,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600108442
CCTV-7国防军事,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600004092
CCTV-8电视剧,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001803
CCTV-9纪录,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600004078
CCTV-10科教,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001805
CCTV-11戏曲,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001806
CCTV-12社会与法,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001807
CCTV-13新闻,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001811
CCTV-14少儿,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001809
CCTV-15音乐,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001815
CCTV-17农业农村,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600001810
